,Ixx,Ixy,Iyy,Ixr,Ixg,Ixb,Iyr,Iyg,Iyb,Irr,Irg,Irb,Igg,Igb,Ibb,Target
0,36,30,25,114,102,30,95,85,25,105,67,95,33,85,25,0
1,16,18,20.25,96,88,40,108,99,45,64,16,240,228,220,100,0
2,1,1,1,28,26,14,28,26,14,16,216,136,164,108,196,0
3,4,250,15625,52,48,24,3250,3000,1500,164,112,56,64,32,144,0
4,9,379.5,16002.25,66,60,24,2783,2530,1012,228,184,176,144,160,64,0
5,0,0,12.25,0,0,0,80.5,73.5,31.5,17,227,207,185,189,81,0
6,63001,1631.5,42.25,7279,6777,3765,188.5,175.5,97.5,73,15,179,217,149,225,0
7,60516,0,0,8856,8364,5412,0,0,0,16,200,24,132,236,228,0
8,0,0,15252.25,0,0,0,3581.5,3334.5,1852.5,73,15,179,217,149,225,0
9,0,0,15876,0,0,0,3402,3150,1638,217,163,95,113,69,169,0
10,0,0,15876,0,0,0,3150,2898,1386,113,63,19,17,253,121,0
11,1,127,16129,23,21,9,2921,2667,1143,17,227,207,185,189,81,0
12,1,1,1,23,21,9,23,21,9,17,227,207,185,189,81,0
13,0,0,4,0,0,0,50,46,22,113,63,19,17,253,121,0
14,0,0,4,0,0,0,54,50,26,217,163,95,113,69,169,0
15,0,0,16129,0,0,0,3683,3429,1905,73,15,179,217,149,225,0
16,0,0,15876,0,0,0,3654,2520,1890,73,68,179,144,44,225,0
17,0,0,0.25,0,0,0,14.5,10,7.5,73,68,179,144,44,225,0
18,0,0,0.25,0,0,0,15,10.5,8,132,118,224,185,80,0,0
19,0,0,0,0,0,0,0,0,0,132,118,224,185,80,0,0
20,0,0,0.25,0,0,0,15,10.5,8,132,118,224,185,80,0,0
21,65025,127.5,0.25,7905,5610,4335,15.5,11,8.5,193,170,15,228,118,33,0
22,65025,0,0,7905,5610,4335,0,0,0,193,170,15,228,118,33,0
23,65025,127.5,0.25,7905,5610,4335,15.5,11,8.5,193,170,15,228,118,33,0
24,0,0,16256.25,0,0,0,4080,2932.5,2295,0,224,64,17,158,68,0
25,1,126,15876,30,21,16,3780,2646,2016,132,118,224,185,80,0,0
26,0,0,15876,0,0,0,3528,2394,1764,16,20,136,105,10,196,0
27,0,0,16002.25,0,0,0,3289,2150.5,1518,164,186,56,33,204,144,0
28,65025,32385,16129,6375,4080,2805,3175,2032,1397,113,144,19,0,176,121,0
29,65025,32512.5,16256.25,6120,3825,2550,3060,1912.5,1275,64,104,240,225,150,100,0
30,65025,127.5,0.25,6120,3825,2550,12,7.5,5,64,104,240,225,150,100,0
31,64516,254,1,6350,4064,2794,25,16,11,113,144,19,0,176,121,0
32,64516,0,0,5588,4826,3048,0,0,0,228,162,8,105,228,144,0
33,64516,32131,16002.25,5334,4572,2794,2656.5,2277,1391.5,185,122,231,68,198,121,0
34,65025,32257.5,16002.25,4845,4080,2295,2403.5,2024,1138.5,105,48,171,0,144,81,0
35,65025,32512.5,16256.25,4590,3825,2040,2295,1912.5,1020,68,14,144,225,120,64,0
36,65025,0,0,4590,3825,2040,0,0,0,68,14,144,225,120,64,0
37,65025,127.5,0.25,4590,3825,2040,9,7.5,4,68,14,144,225,120,64,0
38,65025,255,1,4845,4080,2295,19,16,9,105,48,171,0,144,81,0
39,65025,127.5,0.25,5100,4335,2550,10,8.5,5,144,84,200,33,170,100,0
40,64009,0,0,5060,4301,2530,0,0,0,144,84,200,33,170,100,0
41,64516,127,0.25,5080,4318,2540,10,8.5,5,144,84,200,33,170,100,0
42,65025,255,1,5355,4590,2805,21,18,11,185,122,231,68,198,121,0
43,65025,255,1,5610,4845,3060,22,19,12,228,162,8,105,228,144,0
44,65025,255,1,5865,5100,3315,23,20,13,17,204,43,144,4,169,1
45,64516,254,1,6096,5334,3556,24,21,14,64,248,80,185,38,196,0
46,64009,126.5,0.25,6325,5566,3795,12.5,11,7.5,113,38,119,228,74,225,0
47,63504,32130,16256.25,6300,5544,3780,3187.5,2805,1912.5,113,38,119,228,74,225,0
48,64009,32131,16129,7084,4807,3542,3556,2413,1778,16,20,136,105,10,196,0
49,64516,32131,16002.25,6858,4572,3302,3415.5,2277,1644.5,217,230,95,68,234,169,0
50,65025,32257.5,16002.25,6375,4080,2805,3162.5,2024,1391.5,113,144,19,0,176,121,0
51,0,0,16129,0,0,0,3048,1905,1270,64,104,240,225,150,100,0
52,1,127.5,16256.25,23,14,9,2932.5,1785,1147.5,17,66,207,196,126,81,0
53,1,0.5,0.25,23,14,9,11.5,7,4.5,17,66,207,196,126,81,0
54,0,0,1,0,0,0,24,15,10,64,104,240,225,150,100,0
55,65025,382.5,2.25,6375,4080,2805,37.5,24,16.5,113,144,19,0,176,121,0
56,0,0,1,0,0,0,27,18,13,217,230,95,68,234,169,1
57,65025,0,0,6885,4590,3315,0,0,0,217,230,95,68,234,169,1
58,65025,127.5,0.25,6885,4590,3315,13.5,9,6.5,217,230,95,68,234,169,0
59,65025,382.5,2.25,7140,4845,3570,42,28.5,21,16,20,136,105,10,196,0
60,64516,508,4,7620,5334,4064,60,42,32,132,118,224,185,80,0,0
61,65025,637.5,6.25,8160,5865,4590,80,57.5,45,0,224,64,17,158,68,0
62,64516,508,4,8890,6604,5334,70,52,42,201,142,223,164,34,185,0
63,65025,32385,16129,9180,6885,5610,4572,3429,2794,16,204,24,217,82,228,0
64,65025,127.5,0.25,7905,6885,3825,15.5,13.5,7.5,193,69,209,217,149,225,0
65,65025,892.5,12.25,8925,7905,5100,122.5,108.5,70,201,61,188,193,108,144,0
66,0,0,16129,0,0,0,4572,4318,2794,16,200,24,132,236,228,0
67,0,0,14762.25,0,0,0,3766.5,3523.5,2065.5,193,131,15,73,237,33,0
68,0,0,14884,0,0,0,2806,2562,1098,17,227,207,185,189,81,0
69,1,1.5,2.25,18,18,8,27,27,12,68,68,144,68,144,64,1
70,0,0,56.25,0,0,0,187.5,187.5,112.5,113,113,119,113,119,225,1
71,0,0,1,0,0,0,32,33,25,0,32,32,65,57,113,1
72,63504,126,0.25,6300,6552,5040,12.5,13,10,113,138,244,164,8,144,0
73,65025,32257.5,16002.25,7905,8670,6885,3921.5,4301,3415.5,193,30,69,132,150,217,0
74,1,121.5,14762.25,22,24,19,2673,2916,2308.5,228,16,162,64,200,105,0
75,9,21,49,51,66,48,119,154,112,33,118,16,228,96,0,0
